uniqueID,genus,species,det_by,sex,date_determined,taxonomy_note,,,,,,,
164,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
165,Bombus,impatiens,SL,F,19i2021,,,,,,,,
166,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
167,Bombus,impatiens,SL,F,19i2021,,,,,,,,
168,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
169,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
170,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
171,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
172,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
173,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
174,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
175,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
176,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
177,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
178,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
179,Bombus,impatiens,SL,F,19i2021,,,,,,,,
180,Bombus,impatiens,SL,F,20i2021,,,,,,,,
181,Bombus,impatiens,SL,F,19i2021,,,,,,,,
182,Bombus,impatiens,SL,F,19i2021,,,,,,,,
183,Bombus,impatiens,SL,F,19i2021,,,,,,,,
184,Bombus,impatiens,SL,F,19i2021,,,,,,,,
185,Bombus,impatiens,SL,F,19i2021,,,,,,,,
186,Bombus,griseocollis,SL,F,19i2021,,,,,,,,
187,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
188,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
189,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
190,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
191,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
192,Bombus,impatiens,SL,F,19i2021,,,,,,,,
193,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
194,Bombus,impatiens,SL,F,19i2021,,,,,,,,
195,Bombus,griseocollis,SL,F,19i2021,,,,,,,,
196,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
197,Bombus,impatiens,SL,F,19i2021,,,,,,,,
198,Bombus,impatiens,SL,F,20i2021,,,,,,,,
199,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
200,Bombus,bimaculatus,SL,F,18ii2021,,,,,,,,
201,Bombus,impatiens,SL,F,19i2021,,,,,,,,
202,Bombus,impatiens,SL,F,20i2021,,,,,,,,
203,Bombus,impatiens,SL,F,19i2021,,,,,,,,
204,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
205,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
206,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
207,Bombus,vagans,SL,F,20i2021,,,,,,,,
208,Bombus,impatiens,SL,F,19i2021,,,,,,,,
209,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
210,Bombus,impatiens,SL,F,19i2021,,,,,,,,
211,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
212,Bombus,impatiens,SL,F,19i2021,,,,,,,,
213,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
214,Bombus,impatiens,SL,F,19i2021,,,,,,,,
215,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
216,Halictus,confusus,CA + SL,F,15ii2021,,,,,,,,
217,Megachile,mendica,CA,F,9xii2021,,,,,,,,
218,Bombus,impatiens,SL,F,19i2021,,,,,,,,
219,Bombus,impatiens,SL,F,19i2021,,,,,,,,
220,Bombus,impatiens,SL,F,19i2021,,,,,,,,
221,Bombus,impatiens,SL,F,19i2021,,,,,,,,
222,Bombus,impatiens,SL,F,19i2021,,,,,,,,
223,Bombus,impatiens,SL,F,19i2021,,,,,,,,
224,Bombus,impatiens,SL,F,19i2021,,,,,,,,
225,Bombus,impatiens,SL,F,19i2021,,,,,,,,
226,Bombus,impatiens,SL,F,20i2021,,,,,,,,
227,Bombus,impatiens,SL,F,19i2021,,,,,,,,
228,Bombus,impatiens,SL,F,19i2021,,,,,,,,
229,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
230,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
231,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
232,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
233,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
234,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
235,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
236,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
237,Bombus,impatiens,SL,F,19i2021,,,,,,,,
238,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
239,Bombus,impatiens,SL,F,19i2021,,,,,,,,
240,Bombus,impatiens,SL,F,19i2021,,,,,,,,
241,Bombus,bimaculatus,SL,F,18ii2021,,,,,,,,
242,Bombus,impatiens,SL,F,19i2021,,,,,,,,
243,Bombus,impatiens,SL,F,19i2021,,,,,,,,
244,Bombus,impatiens,SL,F,19i2021,,,,,,,,
245,Bombus,impatiens,SL,F,19i2021,,,,,,,,
246,Anthophora,terminalis,,,21i2021,,,,,,,,
247,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
248,Augochlorella,aurata,SL,F,15i2021,,,,,,,,
249,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
250,Bombus,impatiens,SL,F,1ii2021,,,,,,,,
251,Bombus,impatiens,SL,F,19i2021,,,,,,,,
252,Bombus,impatiens,SL,F,19i2021,,,,,,,,
253,Bombus,impatiens,SL,F,19i2021,,,,,,,,
254,Bombus,impatiens,SL,F,19i2021,,,,,,,,
255,Bombus,impatiens,SL,F,19i2021,,,,,,,,
256,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
257,Bombus,impatiens,SL,F,19i2021,,,,,,,,
258,Bombus,impatiens,SL,F,20i2021,,,,,,,,
259,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
260,Bombus,impatiens,SL,F,19i2021,,,,,,,,
261,Bombus,impatiens,SL,F,20i2021,,,,,,,,
262,Bombus,impatiens,SL,F,19i2021,,,,,,,,
263,Bombus,impatiens,SL,F,20i2021,,,,,,,,
264,Hoplitis,producta,CA,F,25viii2021,,,,,,,,
265,Bombus,impatiens,SL,F,19i2021,,,,,,,,
266,Bombus,terricola,SL,F,19i2021,,,,,,,,
267,Bombus,vagans,SL,F,20i2021,,,,,,,,
268,Bombus,impatiens,SL,F,19i2021,,,,,,,,
269,Bombus,impatiens,SL,F,19i2021,,,,,,,,
270,Bombus,vagans,SL,F,20i2021,,,,,,,,
271,Bombus,impatiens,SL,F,19i2021,,,,,,,,
272,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
273,Bombus,impatiens,SL,F,19i2021,,,,,,,,
274,Bombus,vagans,SL,F,20i2021,,,,,,,,
275,Megachile,sp.,CA,M,9xii2021,,,,,,,,
276,Andrena,spiraeana,JF,f,xi2021,,,,,,,,
277,Megachile,brevis,CA,F,9xii2021,,,,,,,,
278,Peponapis,pruinosa,SL + CA,M,15i2021,,,,,,,,
279,Peponapis,pruinosa,SL + CA,M,15i2021,,,,,,,,
280,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
281,Bombus,bimaculatus,SL,F,21i2021,,,,,,,,
282,Bombus,impatiens,SL,F,19i2021,,,,,,,,
283,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
284,Bombus,impatiens,SL,F,20i2021,,,,,,,,
285,Peponapis,pruinosa,SL + CA,M,15i2021,,,,,,,,
286,Peponapis,pruinosa,SL + CA,M,15i2021,,,,,,,,
287,Bombus,impatiens,SL,F,19i2021,,,,,,,,
288,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
289,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
